time_s,q_dot_e
0,5.683835974
1.16666572,5.796799863
2.33333144,5.907331727
3.49999716,6.015483925
4.666662879,6.12130769
5.833328599,6.224853152
6.999994319,6.32616936
8.166660039,6.425304309
9.333325759,6.522304959
10.49999148,6.61721726
11.6666572,6.710086173
12.83332292,6.80095569
13.99998864,6.889868856
15.16665436,6.976867791
16.33332008,7.061993707
17.4999858,7.145286927
18.66665152,7.226786909
19.83331724,7.30653226
20.99998296,7.384560754
22.16664868,7.460909356
23.3333144,7.535614232
24.49998012,7.608710769
25.66664584,7.680233595
26.83331156,7.750216589
27.99997728,7.818692904
29.166643,7.885694977
30.33330872,7.951254547
31.49997444,8.015402671
32.66664016,8.078169735
33.83330588,8.139585472
34.9999716,8.199678977
36.16663732,8.258478715
37.33330304,8.31601254
38.49996876,8.372307706
39.66663448,8.427390881
40.8333002,8.481288158
41.99996592,8.534025069
43.16663164,8.585626594
44.33329736,8.636117179
45.49996307,8.68552074
46.66662879,8.733860681
47.83329451,8.781159901
48.99996023,8.827440805
50.16662595,8.872725317
51.33329167,8.917034889
52.49995739,8.96039051
53.66662311,9.002812717
54.83328883,9.044321608
55.99995455,9.084936844
57.16662027,9.124677666
58.33328599,9.163562899
59.49995171,9.201610963
60.66661743,9.238839881
61.83328315,9.27526729
62.99994887,9.310910444
64.16661459,9.34578623
65.33328031,9.379911166
66.49994603,9.413301419
67.66661175,9.445972806
68.83327747,9.477940803
69.99994319,9.509220554
71.16660891,9.539826876
72.33327463,9.569774268
73.49994035,9.599076916
74.66660607,9.6277487
75.83327179,9.655803203
76.99993751,9.683253714
78.16660323,9.710113238
79.33326895,9.736394496
80.49993467,9.762109939
81.66660039,9.787271749
82.83326611,9.811891844
83.99993183,9.835981888
85.16659755,9.859553292
86.33326327,9.882617221
87.49992899,9.905184603
88.66659471,9.927266126
89.83326043,9.94887225
90.99992615,9.970013212
92.16659187,9.990699025
93.33325759,10.01093949
94.49992331,10.03074419
95.66658903,10.05012251
96.83325475,10.06908364
97.99992047,10.08763654
99.16658619,10.10579001
100.3332519,10.12355266
101.4999176,10.14093289
102.6665833,10.15793893
103.8332491,10.17457885
104.9999148,10.19086052
106.1665805,10.20679166
107.3332462,10.22237982
108.4999119,10.23763238
109.6665777,10.25255656
110.8332434,10.26715943
111.9999091,10.28144791
113.1665748,10.29542878
114.3332405,10.30910865
115.4999063,10.322494
116.666572,10.33559117
117.8332377,10.34840638
118.9999034,10.36094568
120.1665691,10.37321502
121.3332349,10.38522021
122.4999006,10.39696694
123.6665663,10.40846077
124.833232,10.41970714
125.9998977,10.4307114
127.1665635,10.44147873
128.3332292,10.45201426
129.4998949,10.46232296
130.6665606,10.47240973
131.8332263,10.48227934
132.9998921,10.49193646
134.1665578,10.50138567
135.3332235,10.51063144
136.4998892,10.51967816
137.6665549,10.52853012
138.8332207,10.53719149
139.9998864,10.5456664
141.1665521,10.55395884
142.3332178,10.56207276
143.4998835,10.57001199
144.6665493,10.57778029
