time_s,mdot_kg_s
271.8331127,0.000111781
272.9997784,0.000109375
274.1664442,0.00010702
275.3331099,0.000104716
276.4997756,0.000102461
277.6664413,0.000100255
278.833107,9.80971E-05
279.9997728,9.59851E-05
281.1664385,9.39186E-05
282.3331042,9.18966E-05
283.4997699,8.99182E-05
284.6664356,8.79823E-05
285.8331014,8.60881E-05
286.9997671,8.42347E-05
288.1664328,8.24212E-05
289.3330985,8.06467E-05
290.4997642,7.89105E-05
291.66643,7.72116E-05
292.8330957,7.55493E-05
293.9997614,7.39228E-05
295.1664271,7.23313E-05
296.3330928,7.0774E-05
297.4997586,6.92503E-05
298.6664243,6.77594E-05
299.83309,6.63006E-05
300.9997557,6.48732E-05
302.1664214,6.34765E-05
303.3330872,6.21099E-05
304.4997529,6.07728E-05
305.6664186,5.94644E-05
306.8330843,5.81841E-05
307.99975,5.69315E-05
309.1664158,5.57058E-05
310.3330815,5.45065E-05
311.4997472,5.3333E-05
312.6664129,5.21848E-05
313.8330786,5.10613E-05
314.9997444,4.9962E-05
316.1664101,4.88863E-05
317.3330758,4.78339E-05
318.4997415,4.6804E-05
319.6664072,4.57964E-05
320.833073,4.48104E-05
321.9997387,4.38457E-05
323.1664044,4.29017E-05
324.3330701,4.19781E-05
325.4997358,4.10743E-05
326.6664016,4.019E-05
327.8330673,3.93248E-05
328.999733,3.84781E-05
330.1663987,3.76497E-05
331.3330644,3.68392E-05
332.4997302,3.6046E-05
333.6663959,3.527E-05
334.8330616,3.45107E-05
335.9997273,3.37677E-05
337.166393,3.30407E-05
338.3330588,3.23293E-05
339.4997245,3.16333E-05
340.6663902,3.09523E-05
341.8330559,3.02859E-05
342.9997216,2.96339E-05
344.1663874,2.89959E-05
345.3330531,2.83716E-05
346.4997188,2.77608E-05
347.6663845,2.71631E-05
348.8330502,2.65783E-05
349.999716,-0.037333959
351.1663817,-0.035726417
352.3330474,-0.034188093
353.4997131,-0.032716006
354.6663788,-0.031307306
355.8330446,-0.029959262
356.9997103,-0.028669262
358.166376,-0.027434808
359.3330417,-0.026253508
360.4997074,-0.025123073
361.6663732,-0.024041312
362.8330389,-0.02300613
363.9997046,-0.022015522
365.1663703,-0.021067568
366.333036,-0.020160431
367.4997018,-0.019292354
368.6663675,-0.018461655
369.8330332,-0.017666725
370.9996989,-0.016906023
372.1663646,-0.016178076
373.3330304,-0.015481473
374.4996961,-0.014814865
375.6663618,-0.01417696
376.8330275,-0.013566522
377.9996932,-0.012982368
379.166359,-0.012423368
380.3330247,-0.011888437
381.4996904,-0.011376539
382.6663561,-0.010886683
383.8330218,-0.010417919
384.9996876,-0.00996934
386.1663533,-0.009540075
387.333019,-0.009129295
388.4996847,-0.008736201
389.6663504,-0.008360034
390.8330162,-0.008000064
391.9996819,-0.007655593
393.1663476,-0.007325955
394.3330133,-0.007010511
395.499679,-0.006708649
396.6663448,-0.006419785
397.8330105,-0.006143359
398.9996762,-0.005878836
400.1663419,-0.005625702
401.3330076,-0.005383468
402.4996734,-0.005151664
403.6663391,-0.004929842
404.8330048,-0.00471757
405.9996705,-0.004514439
407.1663362,-0.004320054
408.333002,-0.00413404
409.4996677,-0.003956034
410.6663334,-0.003785693
411.8329991,-0.003622687
412.9996648,-0.0034667
414.1663306,-0.003317429
415.3329963,-0.003174586
416.499662,-0.003037893
417.6663277,-0.002907086
418.8329934,-0.002781912
419.9996592,-0.002662127
421.1663249,-0.0025475
422.3329906,-0.002437808
423.4996563,-0.00233284
424.666322,-0.002232392
425.8329878,-0.002136268
426.9996535,-0.002044284
428.1663192,-0.00195626
429.3329849,-0.001872027
430.4996506,-0.00179142
431.6663164,-0.001714284
432.8329821,-0.00164047
433.9996478,-0.001569834
435.1663135,-0.001502239
436.3329792,-0.001437555
437.499645,-0.001375656
438.6663107,-0.001316423
439.8329764,-0.001259739
440.9996421,-0.001205497
442.1663078,-0.00115359
443.3329736,-0.001103918
444.4996393,-0.001056385
445.666305,-0.001010899
446.8329707,-0.000967371
447.9996364,-0.000925718
449.1663021,-0.000885858
450.3329679,-0.000847714
451.4996336,-0.000811213
452.6662993,-0.000776283
453.832965,-0.000742858
454.9996307,-0.000710871
456.1662965,-0.000680262
457.3329622,-0.000650971
458.4996279,-0.000622942
459.6662936,-0.000596119
460.8329593,-0.000570451
461.9996251,-0.000545888
463.1662908,-0.000522383
464.3329565,-0.00049989
465.4996222,-0.000478365
466.6662879,-0.000457768
467.8329537,-0.000438057
468.9996194,-0.000419195
470.1662851,-0.000401145
471.3329508,-0.000383872
472.4996165,-0.000367343
473.6662823,-0.000351526
474.832948,-0.00033639
475.9996137,-0.000321906
477.1662794,-0.000308045
478.3329451,-0.000294781
479.4996109,-0.000282088
480.6662766,-0.000269942
481.8329423,-0.000258319
482.999608,-0.000247196
484.1662737,-0.000236552
485.3329395,-0.000226366
486.4996052,-0.000216619
487.6662709,-0.000207292
488.8329366,-0.000198366
489.9996023,-0.000189825
