COP_ANN,Err_COP
0.409000631,-0.000447451
0.389864802,-0.000116346
0.395749956,-0.000811656
0.407138295,-0.000206042
0.373872267,-0.001109055
0.399440584,-0.000253478
0.410696764,-4.09661E-05
0.39702738,-0.000292279
0.387234765,-0.00033499
0.406806986,-0.000333465
0.407551377,-0.000721782
0.396672278,0.000266084
0.407487641,-0.000363578
0.39913956,-0.000536569
0.403865372,-0.000516245
0.413453655,0.000146362
0.412059448,-0.000331267
0.410447947,0.000129828
0.413732456,-0.000357337
0.403594705,-0.000390492
0.402252396,-5.62403E-05
0.413066421,5.47536E-05
0.40850212,-0.000487742
0.394757289,-6.77936E-05
0.413130642,-0.000384099
0.413882732,0.000265511
0.368862138,-0.001258635
0.404972488,-0.000410825
0.385483203,-0.000382553
0.401535896,0.000780347
0.402971596,-9.64672E-05
0.40104509,0.000305367
0.404159424,-0.000257778
0.405633544,-0.000225738
0.411002962,0.00025673
0.403306616,0.000297512
0.405268794,-0.000114271
0.410798724,0.000179296
0.406672389,-0.000991455
0.403880254,0.000173893
0.409970487,-0.000282695
0.404788671,-0.000593073
0.415361374,0.000269199
0.408053728,-0.000467925
0.402016533,0.000654269
0.372700205,-3.39082E-05
0.411624858,0.00028975
0.413737934,-0.000227908
0.40844443,-0.000674257
0.406899629,-0.000152929
0.395372039,-6.97124E-05
0.406992024,-0.000580713
0.401235337,0.00012789
0.408263293,-0.000600952
0.409439471,-0.000613824
0.40543421,-0.000376053
0.410108424,-0.000668893
0.403271614,-0.000248675
0.410478209,-0.000108205
0.408231816,-2.89209E-05
0.408435155,-0.00013562
0.409480364,-1.23412E-05
0.411624858,-5.27001E-05
0.407879183,-0.000603126
0.40626944,-0.00038923
0.411145054,0.000141874
0.402021477,-0.000791433
0.404147602,-0.000419207
0.412742425,9.02416E-05
0.414472772,-1.87651E-05
0.411531943,0.000205329
0.37872393,-0.00056586
0.408163841,-0.000420117
0.40292971,0.000371239
0.412630946,7.81541E-05
0.406928587,-0.000413795
0.401827218,7.78941E-05
0.414854757,-0.000152675
0.40918187,-0.000249733
0.412850738,-7.10872E-05
0.408766438,0.000548675
0.414858804,-0.000160009
0.412898444,0.000339992
0.407317655,-0.001021793
0.398422366,-0.00026138
0.403436162,0.000283933
0.406271865,-8.13772E-05
0.382240722,1.4832E-05
0.413802549,-0.000209182
0.372809721,-0.001085047
0.371891492,0.000863617
0.405072798,-0.000434177
0.414638484,-0.00014883
0.389164319,0.000237186
0.406174224,-0.000225153
0.410411574,-0.000120938
0.398544519,-0.000820472
0.403084813,-0.000787486
0.414731923,-0.000117736
0.406451814,-0.000632237
0.402025676,0.000619661
0.410918412,9.34482E-05
0.408864463,-0.000491993
0.414899322,-9.64937E-05
0.413164374,-4.38588E-05
0.359426551,0.001022621
0.402125711,-0.000904557
0.411216041,0.000298663
0.406011522,-0.000638987
0.411980642,6.75209E-05
