Qe_PHYS_W,Qe_ANN_W
7567.827394,7521.242664
14866.8864,14734.51185
9159.238894,9193.699343
8915.386328,9040.966272
5423.493372,5413.657685
23644.00441,23254.40662
18021.14613,17849.37109
6850.639479,6882.083516
7498.496323,7425.868383
8177.812282,8222.672741
6442.086957,6549.693086
7706.76507,7679.335302
10779.88678,10720.20577
7948.521843,8014.916054
15820.49001,15907.26016
19192.64383,19178.5691
8594.35343,8649.051417
17063.5621,17106.14057
8337.225926,8420.649425
11759.48969,11792.11748
8085.569758,8134.317732
20160.63496,20299.00392
23207.03918,23188.21388
17982.98501,18045.95276
16450.22532,16334.43893
12839.96316,12905.99742
8804.343307,8857.35269
7382.744867,7303.713715
22861.22406,22834.79819
9589.64587,9733.644174
23951.51697,23664.53319
5312.400955,5256.101477
6267.080375,6366.846121
31797.21288,31508.52115
9762.133557,9627.480212
8901.87156,8971.944853
9006.622573,9045.586081
6642.566025,6732.161452
8159.76198,8224.624991
8231.165996,8303.448018
5270.843405,5188.686151
13366.69291,13340.90214
6138.523035,6231.976233
7699.99361,7776.689969
5469.775983,5431.1165
15591.1886,15710.01398
5973.243143,6032.992872
6934.447319,6986.241334
6280.053223,6379.356836
17132.95426,16848.80647
6557.525152,6636.849414
18930.92448,18925.06237
19102.70814,19096.1677
16126.64542,15943.01141
9819.843084,9871.356227
13117.58046,13057.73061
30184.54186,30142.87591
14609.77166,14555.18588
10290.78022,10081.85121
18055.0638,17792.21126
31157.16981,31044.79897
9835.920664,9906.078449
6709.761038,6784.615393
8774.898658,8866.017051
6727.494384,6805.57711
10291.34771,10240.17399
7060.809373,7036.589666
6184.376171,6255.626964
13830.96559,13893.77266
31262.33229,31445.28868
6006.871877,6007.762364
11812.61782,11799.68543
29820.60437,29754.54342
6807.822613,6838.391233
24130.88743,24231.50476
10350.96381,10315.21538
11737.55382,11812.05907
7991.52327,8060.942124
14571.73683,14645.98012
16805.51821,16986.09898
7506.245246,7440.292414
6243.223548,6308.272628
9701.845817,9669.384123
5429.59033,5472.774158
8133.0118,8171.413604
7681.331111,7616.450231
7182.244297,7180.969036
8418.713983,8508.284052
20054.48379,20270.58143
10536.58807,10401.48034
7355.797977,7333.484005
10762.07645,10825.17862
11265.48836,11279.2299
9177.864498,9211.548605
8836.858668,8937.138245
21526.73179,21717.28292
5802.194905,5823.533719
15561.97615,15703.79685
17000.08359,16884.0279
6884.527496,6906.503184
12764.40401,12708.56033
10256.08674,10279.96111
17261.32459,17151.83988
17921.09963,17715.8218
7109.997846,7092.997903
5443.293228,5431.938938
14115.89098,13996.41067
10853.78528,10817.2826
18060.46875,17785.91024
6854.554017,6891.699851
7471.243166,7485.722177
12081.54969,12005.85896
11300.32992,11330.90134
6345.003909,6454.579831
5415.567064,5389.311264
7102.306681,7060.273822
11796.55682,11804.24439
6852.298856,6891.625546
11951.32216,11923.71965
16045.69685,15763.80838
6366.126855,6470.71674
9678.737464,9618.987985
6896.996778,6938.55523
16847.88367,16771.18602
9548.801269,9526.728083
8555.299422,8591.685044
7991.411868,7991.12342
18570.87962,18655.57495
20172.40214,20189.00971
13092.92364,12934.99303
11812.99289,11817.28189
29691.25589,29962.21106
7540.592388,7566.216001
7371.076354,7307.936242
8141.369857,8221.087266
7645.043914,7570.718605
5302.425225,5335.420346
9083.91837,9135.038974
20322.33302,20601.73019
8509.625036,8570.856015
9224.909482,9236.968525
7620.441719,7557.553289
5468.618849,5475.07977
7500.985873,7435.385823
7307.289034,7313.988052
6341.611992,6416.304859
7918.922821,7950.328475
15604.89682,15608.9131
11237.52811,11247.00808
6452.035556,6565.016609
13662.95425,13636.06368
6181.181533,6272.798084
5765.125996,5779.549515
9034.261309,9063.138536
7885.969962,7870.60837
6840.922559,6927.537101
11931.46788,12008.59985
8485.367596,8604.626217
6248.112559,6340.289241
12087.14878,12138.39334
11565.69579,11770.22283
25977.34963,26411.9774
11249.14318,11328.39354
15620.07972,15610.67522
7814.457967,7872.619169
10658.61039,10583.62048
7772.151717,7782.199276
16883.62784,16647.36808
10330.83796,10180.64815
7212.12125,7181.172409
8408.612442,8481.524976
18672.2462,18529.2653
15953.75481,15858.38695
14601.44454,14651.0777
10048.46965,9912.48164
7459.510247,7464.030829
9993.37019,10034.07281
5823.643288,5929.173775
17939.64768,17951.94517
6196.729461,6277.39718
6786.019711,6881.884875
5267.445951,5203.972238
24182.8005,24249.50769
8242.74065,8279.425279
9486.039568,9586.072479
12951.86332,12883.93442
14801.40485,14884.51138
7002.013914,7008.183033
5913.329051,5988.885542
10529.48771,10382.57949
6630.962713,6705.010959
5987.948364,6062.238258
27073.16257,27034.90443
7601.82008,7515.091154
13557.41245,13574.68382
10286.98252,10252.98369
5342.570183,5336.495565
9317.52938,9335.730505
6855.117497,6887.358878
9635.465981,9652.497172
14959.11888,15050.62877
25232.65908,25309.23552
11360.8614,11479.47182
21211.65906,21467.67512
9172.333224,9242.142873
8000.125615,8020.717418
24845.11954,24754.63668
17289.73328,17016.28749
8651.489099,8716.78861
8705.250337,8760.726127
5916.334026,5986.686948
11824.4856,11823.79189
13878.0368,13949.29727
16308.62659,16136.91604
11669.31029,11726.53733
9416.796444,9412.433073
9321.266904,9286.176135
19949.79021,20128.57891
26549.07485,26559.51611
18163.63219,18267.14153
16331.75054,16018.05263
6766.703119,6830.274165
10824.15254,10731.79473
26356.66983,26564.93755
21440.86786,21504.40589
11052.60759,10982.06774
9242.768246,9286.539199
24677.70162,24868.09589
10107.87667,9914.613862
19150.3299,19191.72706
10361.30091,10342.41729
6510.817908,6575.202567
7802.13545,7835.50759
16261.02496,16235.51415
5739.100832,5773.151711
10614.77983,10693.5264
8351.143586,8414.292205
26426.40462,26826.41432
14069.9689,14145.53051
16082.69032,16179.15331
24222.73429,24021.08032
5762.980363,5774.004355
6713.888513,6755.464209
6590.927914,6674.548269
11966.25663,12050.90644
9912.773058,9877.19879
7165.915649,7171.257062
10892.66794,10861.72893
7044.934794,7020.235308
17308.05214,17314.51216
9385.999029,9405.827588
5924.572239,5995.378752
6261.258115,6355.532622
6893.858608,6953.456265
6834.09502,6844.429688
9667.783809,9559.730622
14519.7184,14578.96473
28544.5223,28673.41865
30604.43327,30331.42282
9579.600907,9645.228138
28637.426,28554.00353
6706.122072,6724.026555
13207.85127,13234.81248
5247.823682,5233.575909
20438.60252,20743.53121
7608.375677,7554.172026
5803.446387,5895.685746
23923.98607,24272.1852
