A,A_pv,T_h,tau,Qe,COP_th
9.468307744,15.41083943,366.8687834,518.4208174,7866.342661010827,0.41410877702846793
1.854786296,29.36618114,366.0891176,571.6385832,7034.812231591646,0.41321370014112424
2.234872686,15.71003439,362.9663842,656.0589933,5760.546656895673,0.40826472051635404
8.011289345,25.39180195,363.5473136,236.3432331,15972.544845548924,0.4056957345431041
7.011349615,5.659248659,366.6210494,478.9986395,8475.651765435043,0.4138108719283434
9.290582689,13.21767517,367.7655842,635.8726728,6513.594248185578,0.4150080345516599
9.517895167,9.060606404,363.733768,126.2822595,27418.12204064238,0.38387274434008795
2.528042311,21.75927278,365.9580972,680.5058395,5895.451339128225,0.4130642866328839
4.449244011,13.63195236,363.7564465,213.6828155,17575.13868874648,0.4035567436639563
2.25512086,16.36832808,361.8152748,501.8883968,7338.326188217512,0.40576765792364483
5.696101491,25.6496331,365.6021208,287.4199848,13786.82933132301,0.41101303431505914
10.12130978,24.92387329,363.099827,272.9968624,13794.258948176192,0.40675147071466283
8.443949645,7.633564574,361.5992656,104.4173619,29867.43847845727,0.3667382390700851
9.613553028,21.28612227,365.641323,568.4374186,7016.147949616306,0.4126490404265343
5.939856686,18.78727109,361.118376,168.7180441,20438.602521109722,0.391278843
8.286113172,16.24850136,364.5218889,558.9993144,6981.993107,0.41101893902487224
7.908845184,18.39306442,364.4736573,282.3700588,13729.69407001355,0.4093531462647409
1.145159747,15.35465212,361.7166774,345.1171862,10614.779832543087,0.4046882237310086
10.35811442,10.08242663,360.4664219,268.8303352,13177.070676895677,0.40055981539535085
4.088250087,21.20982938,364.4562572,570.3389255,6834.200201839269,0.4109129239606403
8.240311652,14.5660584,366.5121631,200.1837519,19720.325738351534,0.4066764153699234
1.054375219,6.34124438,365.7788748,377.1263382,10582.13219145047,0.412290111
2.606243925,17.02716415,361.2184968,517.792225,7014.844783082357,0.40436206946124476
5.796950286,13.90655188,362.4120967,478.1695559,7806.920927157041,0.4070840509014492
4.852301238,6.278897902,360.9440472,677.1385987,5329.617908946255,0.40370618953308074
10.97610374,22.19238548,362.1269597,681.5058264,5443.672992359889,0.4065156259214555
9.522010124,22.63914492,363.594892,263.3449371,14430.219329795867,0.4072982145282718
1.879578776,27.46766231,363.6462103,221.4180189,16910.989971654595,0.4031860902912764
4.22671419,19.05970879,361.4141823,613.9685705,5944.017151805916,0.4048686802384713
9.295418734,22.70603685,363.4567443,476.3853044,8015.412370873625,0.4091627791398555
7.341897252,20.89601164,360.6755546,349.4844413,10241.727370434572,0.40253861752970144
1.266078747,16.8437613,362.6388897,186.7145133,19192.643826308344,0.39558443327666143
1.958113238,19.27875888,361.3647437,655.072071,5564.6021711229205,0.40475044673867755
7.307884765,13.01861492,364.7273239,113.6823226,30067.354963373713,0.3780009165312107
11.53586319,16.53988936,366.2618818,149.638,25277.50588188922,0.3968033350167701
6.250573305,16.75838185,367.5026116,443.0368314,9304.156277301021,0.4146760074155886
6.103081292,10.94136724,362.652552,412.4034415,9096.483015857299,0.4074754771646504
5.715808355,4.561914077,366.6103354,637.6964631,6366.126854924535,0.4138409694392133
2.370789797,18.40493973,360.8686059,503.3440558,7155.624741321837,0.40346819870680445
3.949818379,21.1449885,365.8159569,561.1884952,7129.838897862649,0.41287188630731525
2.006698595,27.81630797,361.8417119,122.4475337,26331.276253587846,0.3733733524375646
7.014347657,13.64397938,366.6383179,584.9508832,6943.542809155286,0.4138687367553046
4.3519556,28.77538427,362.3273427,409.0342775,9104.522168138607,0.4067592381566278
