COP_PHYS,COP_ANN
0.409448082,0.409000631
0.389981148,0.389864802
0.396561613,0.395749956
0.407344337,0.407138295
0.374981321,0.373872267
0.399694063,0.399440584
0.41073773,0.410696764
0.397319659,0.39702738
0.387569755,0.387234765
0.407140451,0.406806986
0.40827316,0.407551377
0.396406194,0.396672278
0.407851219,0.407487641
0.399676129,0.39913956
0.404381617,0.403865372
0.413307293,0.413453655
0.412390715,0.412059448
0.410318119,0.410447947
0.414089792,0.413732456
0.403985197,0.403594705
0.402308636,0.402252396
0.413011667,0.413066421
0.408989862,0.40850212
0.394825083,0.394757289
0.413514741,0.413130642
0.413617221,0.413882732
0.370120773,0.368862138
0.405383313,0.404972488
0.385865757,0.385483203
0.400755549,0.401535896
0.403068063,0.402971596
0.400739724,0.40104509
0.404417203,0.404159424
0.405859282,0.405633544
0.410746232,0.411002962
0.403009105,0.403306616
0.405383065,0.405268794
0.410619428,0.410798724
0.407663843,0.406672389
0.40370636,0.403880254
0.410253182,0.409970487
0.405381744,0.404788671
0.415092174,0.415361374
0.408521654,0.408053728
0.401362263,0.402016533
0.372734113,0.372700205
0.411335108,0.411624858
0.413965842,0.413737934
0.409118687,0.40844443
0.407052558,0.406899629
0.395441751,0.395372039
0.407572737,0.406992024
0.401107447,0.401235337
0.408864244,0.408263293
0.410053294,0.409439471
0.405810263,0.40543421
0.410777318,0.410108424
0.403520289,0.403271614
0.410586414,0.410478209
0.408260737,0.408231816
0.408570774,0.408435155
0.409492705,0.409480364
0.411677558,0.411624858
0.408482309,0.407879183
0.40665867,0.40626944
0.41100318,0.411145054
0.40281291,0.402021477
0.40456681,0.404147602
0.412652183,0.412742425
0.414491537,0.414472772
0.411326614,0.411531943
0.37928979,0.37872393
0.408583958,0.408163841
0.402558471,0.40292971
0.412552792,0.412630946
0.407342382,0.406928587
0.401749324,0.401827218
0.415007432,0.414854757
0.409431603,0.40918187
0.412921825,0.412850738
0.408217763,0.408766438
0.415018813,0.414858804
0.412558452,0.412898444
0.408339448,0.407317655
0.398683745,0.398422366
0.403152229,0.403436162
0.406353242,0.406271865
0.38222589,0.382240722
0.414011731,0.413802549
0.373894768,0.372809721
0.371027875,0.371891492
0.405506975,0.405072798
0.414787314,0.414638484
0.388927132,0.389164319
0.406399378,0.406174224
0.410532513,0.410411574
0.399364992,0.398544519
0.403872299,0.403084813
0.414849658,0.414731923
0.407084051,0.406451814
0.401406014,0.402025676
0.410824964,0.410918412
0.409356457,0.408864463
0.414995816,0.414899322
0.413208233,0.413164374
0.35840393,0.359426551
0.403030269,0.402125711
0.410917378,0.411216041
0.406650509,0.406011522
0.411913121,0.411980642
0.411110204,0.411881214
0.408623388,0.408603989
0.411791585,0.411624858
0.406684888,0.406557985
0.395137083,0.394963151
0.412841577,0.413424008
0.410673719,0.41049285
0.401123261,0.401288125
0.403353784,0.404120354
0.393188881,0.393054308
0.402321569,0.402599855
0.401494239,0.40198413
0.405911323,0.405842217
0.407638108,0.407005489
0.405362947,0.40522364
0.40101055,0.401114278
0.406882162,0.406216756
0.402646152,0.402979187
0.385770613,0.386017493
0.404951956,0.405392997
0.405233785,0.404829719
0.414108187,0.414015452
0.405356771,0.404717628
0.405183881,0.404814455
0.414873148,0.414701276
0.414729503,0.414577784
0.407768221,0.407211651
0.411972165,0.411630576
0.395584433,0.395178092
0.406416187,0.405745579
0.393719017,0.393539427
0.403695304,0.403317384
0.411492225,0.411212148
0.404805653,0.404231065
0.405004308,0.404582386
0.394119821,0.394040482
0.403430583,0.403679106
0.395899567,0.396125662
0.399290612,0.399411153
0.411792171,0.411862028
0.412443731,0.412371885
0.389818499,0.390043629
0.414924181,0.414763567
0.399711944,0.399313725
0.406426975,0.406395799
0.406509403,0.406113677
0.370499518,0.370446407
0.403151142,0.403026479
0.407474855,0.406764185
0.410569398,0.410393107
0.404993253,0.40458186
0.41363777,0.413334381
0.415148499,0.415008142
0.401568506,0.40222973
0.413719521,0.413804517
0.411076487,0.411292745
0.402992258,0.40282443
0.408697402,0.408703082
0.409342536,0.408901321
0.41468082,0.414833217
0.414661413,0.414626539
0.407467191,0.407097357
0.404956052,0.404975287
0.401768563,0.402002522
0.408864639,0.408571378
0.408516326,0.40834528
0.398419612,0.398150437
0.410561509,0.410391569
0.414220685,0.414456411
0.384171974,0.383634683
0.413077075,0.41338059
0.409573081,0.409290244
0.40730949,0.406767869
0.383523668,0.383110234
0.410123885,0.409783561
0.414415225,0.414350234
0.413455243,0.413202505
0.403885644,0.403618017
0.414399056,0.414152935
0.407996473,0.40751837
0.412456086,0.412685348
0.413956339,0.414430632
0.367069866,0.367944103
0.401556367,0.402013096
0.405631395,0.405460866
0.375180972,0.374143751
0.405407009,0.405007508
0.397023496,0.396374671
0.403885124,0.403563432
0.409293712,0.409348777
0.405498562,0.404935477
0.402943391,0.402121532
0.411507558,0.411028645
0.409807545,0.409496222
0.408529725,0.408308159
0.412982451,0.412752727
0.405157105,0.405050118
0.409269538,0.408784797
0.413186175,0.413103171
0.412806284,0.412671086
0.401831786,0.401810842
0.40138488,0.401719845
0.408046411,0.407471813
0.415176147,0.415079575
0.404950484,0.404761269
0.404823597,0.404631486
0.412535283,0.412358578
0.401357415,0.401363084
0.393016605,0.392544797
0.411818522,0.412085985
0.41035874,0.409783794
0.410888128,0.410236295
0.404856741,0.404470481
0.401700601,0.401589647
0.412865067,0.412503958
0.404126769,0.404046517
0.409150436,0.408292425
0.410457432,0.410349165
0.402485586,0.402843428
0.411175181,0.411375969
0.401423748,0.401693118
0.401514736,0.401119665
0.407127317,0.40661657
0.404565121,0.404179127
0.414103586,0.414314915
0.404533522,0.404370436
0.414447666,0.414452247
0.406798852,0.406713017
0.406228489,0.405744266
0.408159116,0.408028317
0.409339989,0.409019214
0.411881624,0.412221982
0.412166258,0.412205479
0.413840969,0.413804383
0.41277902,0.412614394
0.414015317,0.413989271
0.40064818,0.400362449
0.410881223,0.410873966
0.412796038,0.412701502
0.413002438,0.412844938
0.40340938,0.403952875
0.398789317,0.398511775
0.412099579,0.412576842
0.412823591,0.413030341
0.370433525,0.370565277
0.404641212,0.404216078
0.406788523,0.406185186
0.406689572,0.406080498
0.414038561,0.413896197
0.403468135,0.403630836
0.414121858,0.413776325
0.396484182,0.396048197
0.412024727,0.412086232
0.409917629,0.409503997
0.412819363,0.412629778
