Qe_ANN_W,Err_Qe_W
7627.548146,-43.30831929
26877.6378,82.15315428
20392.70492,113.4015946
5481.755508,14.99879629
30925.1873,-119.6956733
20469.26633,92.98194141
6986.042429,31.24345192
25076.90137,-73.27905882
26518.12086,120.2426048
11437.32319,-34.44376902
17000.44264,-227.8537047
25012.29528,-290.1539335
6537.864073,63.40137061
15187.12994,80.96792273
10032.67871,-68.99364163
6283.314011,106.0778044
11479.60888,18.7037019
5706.595046,24.76594657
9063.567629,66.18495473
8230.731741,93.08160912
8414.365623,107.959067
6803.473408,76.45363977
8757.130097,73.99431947
25563.40031,-34.6458721
10504.46626,-32.42658702
5789.357844,6.762597552
28675.88678,138.9195534
6759.463153,60.486659
26302.39347,-290.915319
11603.88739,143.3040589
6728.903,82.84340841
12918.70019,24.16981286
6624.921634,88.68765433
6232.324167,73.33037304
13803.29089,0.41996402
5371.79753,-47.85287437
20602.78126,25.04761727
11924.29239,-21.56762243
18427.53711,-42.75484077
5141.660742,-18.87265255
9148.941759,21.10520959
9527.415554,-142.2390215
6249.360488,74.39959683
8873.731269,65.11332073
19402.14513,100.2169643
33801.42838,-291.9875464
5700.640648,-0.902302142
7986.092205,2.505519532
15477.22006,-42.43960131
5595.019419,21.2812336
24938.49685,-122.1486551
7434.443745,-40.02705189
8798.312434,76.04774312
8607.706915,40.05843495
17607.90385,197.9126327
6808.276547,13.61205582
17350.35321,178.4202526
9136.938815,35.92619516
7522.43028,-48.45825165
15989.08841,-255.7890682
5733.485917,42.46752973
5853.041804,37.93073659
5769.355602,19.18952861
16070.14485,-14.46530121
6688.487134,52.08122749
11442.35303,-53.16551994
14873.95877,-25.2060235
9882.788992,-177.9549231
6723.639723,56.51176921
6340.819129,57.90525886
10948.83977,13.6477903
28384.44742,28.13401277
6923.749249,12.28639466
5340.240598,-43.90368605
6518.409084,61.6010258
10866.98906,6.734804134
9558.368947,-42.68364024
10011.34974,35.31425489
6658.796486,69.54729937
12358.50277,-4.943446968
14099.5887,14.91853421
10220.87144,-26.81329181
11931.69748,-51.10515098
17639.43265,-8.936363027
25369.11591,25.35578948
12085.80172,47.24218373
5422.677837,-9.132448118
23986.57524,170.0151405
7804.968667,-10.09922945
26734.47398,158.5546787
32941.85128,-192.3951048
7128.656271,-60.54922438
8956.151729,125.1326609
21853.74453,265.5911102
15291.67204,-9.7263666
7903.285177,27.00054725
23156.95776,-81.0444432
14359.40059,-15.33840383
6963.134067,50.29564749
7834.290211,27.36928368
5227.761956,-45.30492786
6936.897596,0.163413902
9030.542054,79.87420528
8783.264196,105.836683
7386.950176,-27.54181233
29440.57107,-23.41585421
15320.40668,-31.64416133
5598.525834,6.142196983
7502.221223,-30.72157118
6688.097728,63.12004155
12322.10783,-136.603149
5525.06205,-12.4450595
6768.899853,35.39456734
5374.218595,-9.412108358
18576.3442,-23.22622063
14150.74669,82.02336378
8950.315594,37.4661148
7746.123365,67.34139816
19363.18492,-79.57275688
17613.67424,-38.90185051
5660.975957,118.2586004
5793.435188,59.74592158
5511.073566,10.55531662
7521.242664,-46.58472962
14734.51185,-132.3745472
9193.699343,34.4604488
9040.966272,125.5799441
5413.657685,-9.83568644
23254.40662,-389.5977871
17849.37109,-171.7750426
6882.083516,31.44403745
7425.868383,-72.62793966
8222.672741,44.86045901
6549.693086,107.6061287
7679.335302,-27.4297685
10720.20577,-59.68100529
8014.916054,66.39421106
15907.26016,86.77014621
19178.5691,-14.07472492
8649.051417,54.69798649
17106.14057,42.57847331
8420.649425,83.42349948
11792.11748,32.62778824
8134.317732,48.74797381
20299.00392,138.3689677
23188.21388,-18.82529962
18045.95276,62.96775177
16334.43893,-115.7863851
12905.99742,66.03426192
8857.35269,53.00938269
7303.713715,-79.0311527
22834.79819,-26.42587117
9733.644174,143.9983035
23664.53319,-286.9837766
5256.101477,-56.29947825
6366.846121,99.76574546
31508.52115,-288.6917351
9627.480212,-134.6533452
8971.944853,70.07329359
9045.586081,38.96350778
6732.161452,89.59542749
8224.624991,64.86301068
8303.448018,72.28202228
5188.686151,-82.15725432
13340.90214,-25.79076925
6231.976233,93.45319784
7776.689969,76.69635928
5431.1165,-38.65948336
15710.01398,118.8253766
6032.992872,59.7497285
6986.241334,51.79401486
6379.356836,99.30361264
16848.80647,-284.147784
6636.849414,79.32426212
18925.06237,-5.862109682
19096.1677,-6.540436936
15943.01141,-183.6340124
9871.356227,51.51314266
13057.73061,-59.84985012
30142.87591,-41.66594499
14555.18588,-54.58578167
10081.85121,-208.9290071
17792.21126,-262.8525376
31044.79897,-112.3708365
9906.078449,70.15778523
6784.615393,74.85435543
8866.017051,91.11839323
6805.57711,78.08272627
10240.17399,-51.17371952
7036.589666,-24.21970685
6255.626964,71.25079385
13893.77266,62.80706128
31445.28868,182.9563853
6007.762364,0.890487838
11799.68543,-12.93239176
29754.54342,-66.06094359
6838.391233,30.56862037
24231.50476,100.617331
10315.21538,-35.74843395
11812.05907,74.50524502
8060.942124,69.41885454
14645.98012,74.24329127
16986.09898,180.5807781
7440.292414,-65.95283182
6308.272628,65.04907932
9669.384123,-32.46169393
5472.774158,43.18382837
8171.413604,38.40180361
7616.450231,-64.88088059
7180.969036,-1.275261305
8508.284052,89.57006913
20270.58143,216.097634
10401.48034,-135.1077301
7333.484005,-22.31397217
10825.17862,63.10216739
11279.2299,13.74153164
9211.548605,33.68410765
8937.138245,100.2795767
21717.28292,190.5511378
5823.533719,21.33881376
15703.79685,141.8206976
16884.0279,-116.0556867
6906.503184,21.97568806
12708.56033,-55.84368785
10279.96111,23.87437501
17151.83988,-109.4847167
17715.8218,-205.2778289
7092.997903,-16.99994296
5431.938938,-11.3542893
13996.41067,-119.4803041
10817.2826,-36.50267951
17785.91024,-274.5585039
6891.699851,37.1458339
7485.722177,14.47901111
12005.85896,-75.69073535
11330.90134,30.57141434
6454.579831,109.5759223
5389.311264,-26.25580035
7060.273822,-42.03285901
11804.24439,7.687571911
6891.625546,39.32669013
11923.71965,-27.60250624
15763.80838,-281.8884649
6470.71674,104.5898855
9618.987985,-59.74947965
6938.55523,41.55845187
16771.18602,-76.69764573
9526.728083,-22.073186
8591.685044,36.385622
7991.12342,-0.288447606
18655.57495,84.69533472
20189.00971,16.60756857
12934.99303,-157.9306067
11817.28189,4.289004884
29962.21106,270.9551707
7566.216001,25.62361309
7307.936242,-63.14011259
8221.087266,79.71740883
7570.718605,-74.32530944
5335.420346,32.99512128
9135.038974,51.1206043
20601.73019,279.3971722
8570.856015,61.23097865
9236.968525,12.05904315
7557.553289,-62.88843022
5475.07977,6.460920747
7435.385823,-65.60005023
7313.988052,6.699018191
6416.304859,74.69286688
7950.328475,31.40565365
15608.9131,4.016278559
11247.00808,9.479967632
6565.016609,112.981053
13636.06368,-26.8905633
6272.798084,91.61655025
5779.549515,14.42351918
9063.138536,28.87722704
7870.60837,-15.3615921
6927.537101,86.61454138
12008.59985,77.13196818
8604.626217,119.258621
6340.289241,92.17668212
12138.39334,51.24455748
11770.22283,204.5270431
26411.9774,434.6277717
11328.39354,79.25035498
15610.67522,-9.404505509
7872.619169,58.16120145
10583.62048,-74.9899109
7782.199276,10.04755878
16647.36808,-236.2597577
10180.64815,-150.189807
7181.172409,-30.94884115
8481.524976,72.91253418
18529.2653,-142.9808922
15858.38695,-95.36785945
14651.0777,49.63315358
9912.48164,-135.9880093
7464.030829,4.520581922
10034.07281,40.70261862
5929.173775,105.5304875
17951.94517,12.2974852
6277.39718,80.66771889
6881.884875,95.86516466
5203.972238,-63.47371349
24249.50769,66.70718885
8279.425279,36.68462964
9586.072479,100.0329111
12883.93442,-67.92889681
14884.51138,83.10653009
7008.183033,6.169119245
5988.885542,75.55649147
10382.57949,-146.908219
6705.010959,74.04824544
6062.238258,74.28989366
27034.90443,-38.25814323
7515.091154,-86.72892542
13574.68382,17.27137231
10252.98369,-33.9988356
5336.495565,-6.07461783
9335.730505,18.20112462
6887.358878,32.2413806
9652.497172,17.03119076
15050.62877,91.50989397
25309.23552,76.57644325
11479.47182,118.6104209
21467.67512,256.0160576
9242.142873,69.8096484
8020.717418,20.59180303
24754.63668,-90.48286248
17016.28749,-273.44579
8716.78861,65.29951085
8760.726127,55.47579027
5986.686948,70.35292227
11823.79189,-0.693709883
13949.29727,71.26047062
16136.91604,-171.7105498
11726.53733,57.22704395
9412.433073,-4.363370897
9286.176135,-35.09076847
20128.57891,178.7887015
26559.51611,10.44125271
18267.14153,103.5093402
16018.05263,-313.6979128
6830.274165,63.57104545
10731.79473,-92.35780998
26564.93755,208.267721
21504.40589,63.53802402
10982.06774,-70.5398518
9286.539199,43.7709531
24868.09589,190.3942768
9914.613862,-193.2628099
19191.72706,41.39715538
10342.41729,-18.88362447
6575.202567,64.3846593
7835.50759,33.37214077
16235.51415,-25.51081317
5773.151711,34.05087889
10693.5264,78.74656794
