time_s,q_dot_e
0,0
1.16666572,0
2.33333144,0
3.49999716,0
4.666662879,0
5.833328599,0
6.999994319,0
8.166660039,0
9.333325759,0
10.49999148,0
11.6666572,0
12.83332292,0
13.99998864,0
15.16665436,0
16.33332008,0
17.4999858,0
18.66665152,0
19.83331724,0
20.99998296,0
22.16664868,0
23.3333144,0
24.49998012,0
25.66664584,0
26.83331156,0
27.99997728,0
29.166643,0
30.33330872,0
31.49997444,0
32.66664016,0
33.83330588,0
34.9999716,0
36.16663732,0
37.33330304,0
38.49996876,0
39.66663448,0
40.8333002,0
41.99996592,0
43.16663164,0
44.33329736,0
45.49996307,0
46.66662879,0
47.83329451,0
48.99996023,0
50.16662595,0
51.33329167,0
52.49995739,0
53.66662311,0
54.83328883,0
55.99995455,0
57.16662027,0
58.33328599,0
59.49995171,0
60.66661743,0
61.83328315,0
62.99994887,0
64.16661459,0
65.33328031,0
66.49994603,0
67.66661175,0
68.83327747,0
69.99994319,0
71.16660891,0
72.33327463,0
73.49994035,0
74.66660607,0
75.83327179,0
76.99993751,0
78.16660323,0
79.33326895,0
80.49993467,0
81.66660039,0
82.83326611,0
83.99993183,0
85.16659755,0
86.33326327,0
87.49992899,0
88.66659471,0
89.83326043,0
90.99992615,0
92.16659187,0
93.33325759,0
94.49992331,0
95.66658903,0
96.83325475,0
97.99992047,0
99.16658619,0
100.3332519,0
101.4999176,0
102.6665833,0
103.8332491,0
104.9999148,0
106.1665805,0
107.3332462,0
108.4999119,0
109.6665777,0
110.8332434,0
111.9999091,0
113.1665748,0
114.3332405,0
115.4999063,0
116.666572,0
117.8332377,0
118.9999034,0
120.1665691,0
121.3332349,0
122.4999006,0
123.6665663,0
124.833232,0
125.9998977,0
127.1665635,0
128.3332292,0
129.4998949,0
130.6665606,0
131.8332263,0
132.9998921,0
134.1665578,0
135.3332235,0
136.4998892,0
137.6665549,0
138.8332207,0
139.9998864,0
141.1665521,0
142.3332178,0
143.4998835,0
144.6665493,0
145.833215,0
146.9998807,0
148.1665464,0
149.3332121,0
150.4998779,0
151.6665436,0
152.8332093,0
153.999875,0
155.1665407,0
156.3332065,0
157.4998722,0
158.6665379,0
159.8332036,0
160.9998693,0
162.1665351,0
163.3332008,0
164.4998665,0
165.6665322,0
166.8331979,0
167.9998637,0
